text,label
"Страны Африки [сэкономят до $6 млрд в год из-за ограничения цен на российскую нефть](https://www.forbes.ru/biznes/484023-minfin-ssa-ocenil-ekonomiu-afriki-ot-potolka-cen-na-neft-iz-rossii-v-6-mlrd-v-god), сообщила глава Минфина США Джанет Йеллен. Она призвала развивающиеся страны использовать ценовой потолок в переговорах с Россией, чтобы добиться более высоких скидок на нефть",1
❗Минюст [признал иностранными агентами певицу Монеточку](https://www.forbes.ru/society/483989-minust-priznal-inoagentami-pevicu-monetocku-i-osnovatela-gulagu-net) Елизавету Гырдымову и основателя правозащитного проекта Gulagu.nеt Владимира Осечкина. Осечкин осенью 2022 года стал фигурантом уголовного дела в России о «фейках» об армии,0
"**Президент Сорбонны и Галина Тимченко: самые успешные женщины из списка «50 Over 50»**

Forbes USA опубликовал список самых успешных женщин старше 50 лет в Европе, Африке и на Ближнем Востоке. Бывшая учительница, которая управляет крупнейшей торговой сетью Швейцарии; страховой агент, которая в 1990-е с несколькими друзьями основала охранную компанию; дочь эмигрантов, ставшая лидером технологического сектора Великобритании, и единственная женщина в ватиканском Синоде епископов. 

[Мы выбрали несколько героинь,](https://www.forbes.ru/forbes-woman/483938-prezident-sorbonny-i-galina-timcenko-samye-uspesnye-zensiny-iz-spiska-50-over-50) чьи карьеры служат примером смелости и веры в себя.",0
"Биржевые цены на газ в Европе [выросли на 11,42%](https://www.forbes.ru/biznes/484020-birzevye-ceny-na-gaz-v-evrope-vyrosli-na-11). Снижение цен в течение шести недель стало самым продолжительным с февраля 2020 года, но сейчас есть признаки спроса на газ со стороны промышленности, отмечают эксперты",1
"**Грета Тунберг, рецессия и регулирование криптовалют: о чем говорили в Давосе**

В этом году на всемирном экономическом форуме в Давосе принимало участие самое большое количество политиков и бизнесменов за все время. 

Среди них было 50 глав правительств, 56 министров финансов, 19 глав центробанков и 35 министров иностранных дел. 

При этом в Давосе не было ни представителей России, ни большинства лидеров стран с самыми крупными в мире экономиками — за исключением канцлера Германии Олафа Шольца. 

Тема форума в этом году была заявлена как «Сотрудничество в разобщенном мире». Колумнист The Guardian Гамильтон Нолан назвал форум __«сборищем безжалостных плутократов»__ и написал, что это мероприятие — самый яркий пример __«встречи, вместо которой было бы достаточно электронного письма»__. 

Что же [обсуждали мировые лидеры](https://www.forbes.ru/biznes/484008-greta-tunberg-recessia-i-regulirovanie-kriptovalut-o-cem-govorili-v-davose), которые все же предпочли явиться в Давос и встретиться лично?
__
__📸__: Dursun Aydemir / Anadolu Agency via Getty Images__",0
"Россия [не смогла перехватить у Саудовской Аравии лидерство](https://www.forbes.ru/biznes/484018-rossia-ne-smogla-obojti-saudovskuu-araviu-po-godovym-postavkam-nefti-v-kitaj) по объему поставок сырой нефти в Китай, сообщил РБК. В 2022 году она поставила Пекину 86,25 млн тонн сырой нефти, что на 1,4% меньше, чем Саудовская Аравия. На фоне потолка цен на морские поставки российской нефти ее импорт в Китай в декабре оказался минимальным с марта 2022 года — 6,47 млн тонн",1
"Российские компании играли важную роль в организации ЧМ-2022 в Катаре, хотя сборную не допустили до соревнований. 

Суммарно в организациях, ответственных за проведение ЧМ-2022, и в компаниях-подрядчиках работали порядка 350 россиян, оценивает Алексей Сорокин, бывший генеральный директор организационного комитета по подготовке и проведению ЧМ-2018. 

Принять участие в организации ЧМ-2022 смогли студия интерактивных медиа Sila Sveta, производитель мебели Mr.Doors и ряд других компаний, узнал Forbes. [Как они попали на турнир и сколько смогли выручить? Читайте в материале Forbes](https://www.forbes.ru/svoi-biznes/483863-sou-mebel-i-avto-kakie-rossijskie-kompanii-organizovyvali-cm-2022-v-katare).",0
"Росбанк [опроверг назначение Михаила Задорнова](https://www.forbes.ru/finansy/484014-rosbank-oproverg-naznacenie-mihaila-zadornova-glavoj-banka), до конца 2022 года возглавлявшего ФК «Открытие», своим руководителем. Осенью к исполнению обязанностей главы Росбанка, купленного миллиардером Владимиром Потаниным, приступила Наталья Воеводина",0
"В новой серии второго сезона подкаста «Go учиться!» говорим о геймдеве.

28% россиян хотели бы начать карьеру в сфере разработки игр. Среди причин такого выбора — возможность работать удаленно и создавать то, чем нравится пользоваться. Но влекут людей еще и деньги: соискатели рассчитывают на доход от 100 000 до 300 000 рублей почти на старте карьеры.

Какие зарплаты в действительности их ждут? Какие вообще направления работы существуют в геймдеве? И можно ли попасть в индустрию, если тебе уже за 30? 

[Слушайте выпуск на сайте Forbes](https://www.forbes.ru/podcasts/go-ucit-sa/483892-vsa-zizn-igra-professii-i-zarplaty-v-gejmdeve)

[И на удобной площадке](https://pc.st/e/69oclEptS56)",0
"Повышение целевых показателей инфляции и соответствующее снижение ставок [грозит рецессией, сравнимой с 1970-ми](https://www.forbes.ru/finansy/484011-eks-glava-minfina-ssa-predupredil-o-recessii-na-urovne-1970-h-pri-snizenii-stavok), заявил в Давосе бывший министр финансов США Ларри Саммерс. Руководители центральных банков, принимавшие участие в обсуждении, признали, что повышение ставок по-прежнему необходимо для борьбы с инфляцией",0
